id,s_id,stamp,time,amplitude
442,442,20230502185209,509248,205
443,443,20230502185209,510400,213
444,444,20230502185209,511552,216
445,445,20230502185209,512704,226
446,446,20230502185209,513856,223
447,447,20230502185209,515008,218
448,448,20230502185209,516160,215
449,449,20230502185209,517312,211
450,450,20230502185209,518464,215
451,451,20230502185209,519616,223
452,452,20230502185209,520768,226
453,453,20230502185209,521920,216
454,454,20230502185209,523072,207
455,455,20230502185209,524224,207
456,456,20230502185209,525376,214
457,457,20230502185209,526528,217
458,458,20230502185209,527680,222
459,459,20230502185209,528832,216
460,460,20230502185209,529984,210
461,461,20230502185209,531136,206
462,462,20230502185209,532288,210
463,463,20230502185209,533440,215
464,464,20230502185209,534592,221
465,465,20230502185209,535744,223
466,466,20230502185209,536896,215
467,467,20230502185209,538048,208
468,468,20230502185209,539200,208
469,469,20230502185209,540352,213
470,470,20230502185209,541504,216
471,471,20230502185209,542656,223
472,472,20230502185209,543808,220
473,473,20230502185209,544960,213
474,474,20230502185209,546112,210
475,475,20230502185209,547264,211
476,476,20230502185209,548416,215
477,477,20230502185209,549568,223
478,478,20230502185209,550720,228
479,479,20230502185209,551872,222
480,480,20230502185209,553024,215
481,481,20230502185209,554176,211
482,482,20230502185209,555328,214
483,483,20230502185209,556480,217
484,484,20230502185209,557632,224
485,485,20230502185209,558784,218
486,486,20230502185209,559936,211
487,487,20230502185209,561088,205
488,488,20230502185209,562240,211
489,489,20230502185209,563392,216
490,490,20230502185209,564544,222
491,491,20230502185209,565696,221
492,492,20230502185209,566848,217
493,493,20230502185209,568000,212
494,494,20230502185209,569152,210
495,495,20230502185209,570304,214
496,496,20230502185209,571456,217
497,497,20230502185209,572608,227
498,498,20230502185209,573760,222
499,499,20230502185209,574912,215
500,500,20230502185209,576064,209
501,501,20230502185209,577216,211
502,502,20230502185209,578368,215
503,503,20230502185209,579520,220
504,504,20230502185209,580672,219
505,505,20230502185209,581824,214
506,506,20230502185209,582976,208
507,507,20230502185209,584128,208
508,508,20230502185209,585280,213
509,509,20230502185209,586432,217
510,510,20230502185209,587584,223
511,511,20230502185209,588736,222
512,512,20230502185209,589888,218
513,513,20230502185209,591040,213
514,514,20230502185209,592192,212
515,515,20230502185209,593344,215
516,516,20230502185209,594496,223
517,517,20230502185209,595648,223
518,518,20230502185209,596800,217
519,519,20230502185209,597952,210
520,520,20230502185209,599104,209
521,521,20230502185209,600256,213
522,522,20230502185209,601408,217
